x	y	prodrate
0	0	0.800045692
0	1	0.472848933
0	2	0.404118216
0	3	0.525372516
0	4	0.532580938
0	5	0.706558658
0	6	0.781619633
0	7	1.101183471
0	8	0.549086337
0	9	0.668975124
0	10	0.501932079
0	11	0.832009829
0	12	0.131702078
0	13	0.325509838
0	14	0.453410057
0	15	0.985697967
0	16	0.475185629
0	17	0.730621859
0	18	0.233089049
0	19	0.5
0	20	0.61368841
0	21	0.5
0	22	0.025614634
0	23	0.557466319
0	24	0.430673824
0	25	0.860860721
0	26	0.924607043
0	27	0.503673342
0	28	0.291907195
0	29	0.192113457
0	30	0.829224412
0	31	0.175914327
0	32	0.321961872
0	33	0.388285947
0	34	0.757433452
0	35	0.173887839
0	36	0.457791482
0	37	0.498800669
0	38	0.481222688
0	39	0.577192507
0	40	0.374227863
0	41	0.402175717
0	42	0.722917953
0	43	0.500491854
0	44	0.814786976
0	45	0.518654459
0	46	0.059060268
0	47	0.097280162
0	48	0.5
0	49	0.199346149
0	50	0.71123251
0	51	0.916919406
0	52	0.417073097
0	53	0.365560522
0	54	0.510093555
0	55	0.851210597
0	56	0.881290557
0	57	0.357270804
0	58	0.339398663
0	59	0.480867674
0	60	0.435163798
0	61	0.470303206
0	62	0.499295383
0	63	0.824297925
0	64	0.272924714
0	65	0.158059563
0	66	0.417610806
0	67	0.379636244
0	68	0.776979363
0	69	0.045011588
0	70	0.861890659
0	71	0.239402004
0	72	0.387821038
0	73	0.118966792
0	74	0.765938795
0	75	0.491436103
0	76	0.038577466
0	77	0.852512307
0	78	0.388903746
0	79	0.815839905
0	80	0.940606059
0	81	0.340245182
0	82	0.465305615
0	83	0.154029454
0	84	0.300607907
0	85	0.950461586
0	86	0.743928274
0	87	0.466217616
0	88	0.807924695
0	89	0.690956386
0	90	0.506655474
0	91	0.5
0	92	0.082044727
0	93	0.5
0	94	0.5
0	95	0.303085309
0	96	0.326558074
0	97	0.412987308
0	98	0.63389124
0	99	0.675847669
0	100	0.309209544
0	101	0.270075435
0	102	0.257997494
0	103	0.199627522
0	104	0.659904295
0	105	0.426686832
0	106	0.610206423
0	107	0.5
0	108	0.408404411
0	109	0.215573796
0	110	0.358419899
0	111	0.403081906
0	112	0.396138175
1	0	0.314850352
1	1	0.405493414
1	2	0.443730335
1	3	0.55441323
1	4	0.418804568
1	5	0.284590435
1	6	0.360883012
1	7	0.699150441
1	8	0.654917393
1	9	0.749781857
1	10	0.528372515
1	11	0.974871315
1	12	0.400044866
1	13	0.707856469
1	14	0.490908397
1	15	0.619640374
1	16	0.676523365
1	17	0.582085896
1	18	0.739308519
1	19	0.221703308
1	20	0.454799052
1	21	0.661917499
1	22	0.219457595
1	23	0.419910721
1	24	0.377396582
1	25	0.498092488
